model_name;c_index;ibs;auc;time;repeat_i;repeat_seed;fold_i;fold_seed;params;ds_name;outer_seed
sdpm_mlp;0.9878631849944832;0.0157724895752732;0.9963937395721713;15.895099878311155;2;686368;2;524657;"{""batch_size"": 32, ""lr"": 0.00042257253656521746, ""layer_n"": 5, ""hidden_dim"": 256, ""activation"": ""ReLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.014935038317092631, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.012683751947645481}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9978843441466856;0.0086926053542367;0.998341585212706;37.361778259277344;2;686368;3;388810;"{""batch_size"": 32, ""lr"": 0.0009977513710716693, ""layer_n"": 2, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""dropout"": 0.10989024257444181, ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.01721663640864437, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.00015354608040818349}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9951182876455126;0.0098094776195891;0.9983519991140734;18.06967782974243;3;460197;0;191417;"{""batch_size"": 32, ""lr"": 0.0009962658304468138, ""layer_n"": 5, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""none"", ""cat_processor"": ""empty"", ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.027076910554519162, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.005009987766543312}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9908088235294118;0.0134437270965122;0.9986888947061726;18.36526393890381;3;460197;1;971783;"{""batch_size"": 32, ""lr"": 0.0005981082423483625, ""layer_n"": 3, ""hidden_dim"": 64, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 8, ""dropout"": 0.12664419391842657, ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.027636504718148713, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.002057770752041055}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9919082939986514;0.0069828474554828;0.998170137021747;10.575616598129272;3;460197;2;819533;"{""batch_size"": 64, ""lr"": 0.0006809199275240755, ""layer_n"": 3, ""hidden_dim"": 256, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 8, ""dropout"": 0.21247697797840023, ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.014262578420399, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.0001812374456073178}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9522292993630572;0.0513423179141701;0.9696548443012692;7.04437780380249;3;460197;3;675141;"{""batch_size"": 64, ""lr"": 0.0008170738372921981, ""layer_n"": 3, ""hidden_dim"": 128, ""activation"": ""SiLU"", ""normalization"": ""none"", ""cat_processor"": ""empty"", ""dropout"": 0.20144506103256876, ""weight_decay"": 0.0, ""f_embed_noise"": false, ""n_frequencies"": 32, ""frequency_init_scale"": 0.30014892826951106, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.015075799347884224}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9974573192880494;0.0122165970829769;0.9997570105333028;15.758273124694824;4;454049;0;421962;"{""batch_size"": 32, ""lr"": 0.0006888586352150025, ""layer_n"": 4, ""hidden_dim"": 512, ""activation"": ""ReLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0001, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.011362980040623557, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.0006118604195529768}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9934234563390574;0.0061294867230222;0.9993694570839964;16.565653562545776;4;454049;1;862728;"{""batch_size"": 32, ""lr"": 0.0004140009661532946, ""layer_n"": 5, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0001, ""f_embed_noise"": false, ""n_frequencies"": 8, ""frequency_init_scale"": 0.014500330068232432, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.05982082555785407}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9943741209563994;0.0060219011226998;0.9994074741763926;20.42493176460266;4;454049;2;571924;"{""batch_size"": 32, ""lr"": 0.0009469127544942499, ""layer_n"": 4, ""hidden_dim"": 128, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.024933087031641998, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.06121095157276762}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9960891669925694;0.0051359318197364;0.9998215500738336;38.14943885803223;4;454049;3;464954;"{""batch_size"": 32, ""lr"": 0.0004749113246512976, ""layer_n"": 5, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0001, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.02177309992711603, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.000990598548019192}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
